"Six months ended 30th September 2025","","","",""
"Group","","Attributable to equity holders of the parent","",""
"","Revaluation","Stated","Retained","Total"
"","Reserve","Capital","Earnings","Equity"
"","LKR","LKR","LKR","LKR"
"Balance as at 01 April 2024","4,156,442,953","2,795,513,620","(8,237,606,358)","(1,285,649,785)"
"Net profit/(loss) for the period","","","(2,228,695,136)","(2,228,695,136)"
"Other comprehensive income","-","","-","-"
"","4,156,442,953","2,795,513,620","(10,466,301,494)","(3,514,344,920)"
"Rights issue","","3,234,822,111","","3,234,822,111"
"Balance as at 30 September 2024","4,156,442,953","6,030,335,731","(10,466,301,494)","(279,522,809)"
"Balance as at 01 April 2025","4,196,525,101","6,030,335,731","(11,712,007,472)","(1,485,146,639)"
"Net profit/(loss) for the period","","","(1,645,979,625)","(1,645,979,625)"
"Other comprehensive income","-","","-","-"
"","4,196,525,101","6,030,335,731","(13,357,987,097)","(3,131,126,264)"
"Revaluation transfer on disposal","(240,371,978)","-","240,371,978","-"
"Balance as at 30 September 2025","3,956,153,123","6,030,335,731","(13,117,615,119)","(3,131,126,264)"
